x,y,z,shift
-0.112518310546875,-0.964691162109375,-0.317626953125,14722.393231291668
-0.0675201416015625,-0.9876251220703125,-0.313232421875,14722.413200291667
-0.0749053955078125,-0.959197998046875,-0.28765869140625,14722.433168291667
-0.0811767578125,-0.966094970703125,-0.2738189697265625,14722.453137291668
-0.08929443359375,-0.9694976806640625,-0.28466796875,14722.473106291667
-0.07861328125,-0.96051025390625,-0.3031158447265625,14722.493075291668
-0.0797119140625,-0.946380615234375,-0.30865478515625,14722.513044291667
-0.1371612548828125,-0.9140777587890625,-0.3032379150390625,14722.533013291668
-0.1829986572265625,-0.8917236328125,-0.28570556640625,14722.552982291667
-0.1679840087890625,-0.8969573974609375,-0.2802886962890625,14722.572951291668
-0.1805267333984375,-0.904083251953125,-0.2823333740234375,14722.592919291668
-0.26129150390625,-0.8758087158203125,-0.2870635986328125,14722.612888291667
-0.29693603515625,-0.8787841796875,-0.305145263671875,14722.632857291668
-0.2826690673828125,-0.8980255126953125,-0.3243408203125,14722.652827291668
-0.2529449462890625,-0.90753173828125,-0.3282470703125,14722.672796291668
-0.21966552734375,-0.89178466796875,-0.3201141357421875,14722.692765291667
-0.23016357421875,-0.90087890625,-0.338134765625,14722.712734291668
-0.2740936279296875,-0.89996337890625,-0.36297607421875,14722.732704291668
-0.258453369140625,-0.8988800048828125,-0.385498046875,14722.752674291667
-0.251007080078125,-0.909210205078125,-0.4064178466796875,14722.772645541667
-0.2747955322265625,-0.9062957763671875,-0.4125823974609375,14722.792615541668
-0.302703857421875,-0.8936767578125,-0.4247589111328125,14722.812584541667
-0.328369140625,-0.880462646484375,-0.431060791015625,14722.832555541667
-0.35357666015625,-0.8604888916015625,-0.449493408203125,14722.852524541668
-0.3600311279296875,-0.829315185546875,-0.4660797119140625,14722.872493541667
-0.367950439453125,-0.843597412109375,-0.4622344970703125,14722.892462541668
-0.3772125244140625,-0.841217041015625,-0.4448394775390625,14722.912432541667
-0.3873748779296875,-0.8119659423828125,-0.4521636962890625,14722.932401541668
-0.37420654296875,-0.7843017578125,-0.448394775390625,14722.952371541667
-0.3619384765625,-0.761383056640625,-0.4391937255859375,14722.972341541668
-0.369354248046875,-0.755523681640625,-0.4144439697265625,14722.992310541667
-0.3991241455078125,-0.7433013916015625,-0.387603759765625,14723.012280541667
-0.407684326171875,-0.7303924560546875,-0.3642730712890625,14723.032249541668
-0.41558837890625,-0.729522705078125,-0.3566741943359375,14723.052218541667
-0.439910888671875,-0.6970062255859375,-0.3481597900390625,14723.072187541668
-0.501220703125,-0.6474456787109375,-0.35028076171875,14723.092156541668
-0.5624847412109375,-0.6409912109375,-0.3619232177734375,14723.112125541667
-0.5730133056640625,-0.6656494140625,-0.3513031005859375,14723.132094541668
-0.6114044189453125,-0.6693572998046875,-0.3485260009765625,14723.152063541667
-0.6656494140625,-0.649627685546875,-0.362152099609375,14723.172031541668
-0.6817626953125,-0.6349639892578125,-0.376312255859375,14723.191999541668
-0.687530517578125,-0.6507415771484375,-0.4125518798828125,14723.211966541667
-0.7531890869140625,-0.6947479248046875,-0.4427947998046875,14723.231934541667
-0.838714599609375,-0.708770751953125,-0.4693450927734375,14723.251902541668
-0.849761962890625,-0.7055816650390625,-0.4472503662109375,14723.271871541667
-0.792938232421875,-0.706695556640625,-0.423309326171875,14723.291839541667
-0.7384185791015625,-0.6900177001953125,-0.4315185546875,14723.311808541668
-0.690704345703125,-0.626678466796875,-0.413238525390625,14723.331777541667
-0.6708526611328125,-0.58319091796875,-0.38958740234375,14723.351746541668
-0.674652099609375,-0.5567474365234375,-0.3842315673828125,14723.371715541667
-0.69805908203125,-0.52862548828125,-0.3830413818359375,14723.391684541668
-0.7281951904296875,-0.5192413330078125,-0.386810302734375,14723.411653541667
-0.753936767578125,-0.5446624755859375,-0.4102935791015625,14723.431622541668
-0.761627197265625,-0.584930419921875,-0.4210968017578125,14723.451592541667
-0.7805328369140625,-0.5908355712890625,-0.4233245849609375,14723.471561541668
-0.792694091796875,-0.579498291015625,-0.4183197021484375,14723.491530541667
-0.771270751953125,-0.5857391357421875,-0.415069580078125,14723.511499541668
-0.7362518310546875,-0.5884552001953125,-0.4098052978515625,14723.531467541668
-0.70428466796875,-0.5921783447265625,-0.3946380615234375,14723.551436541667
-0.6864776611328125,-0.6182708740234375,-0.3914947509765625,14723.571406541667
-0.6833648681640625,-0.608612060546875,-0.379730224609375,14723.591375541668
-0.697265625,-0.60711669921875,-0.38751220703125,14723.611342541668
-0.7119140625,-0.634674072265625,-0.41259765625,14723.631311541667
-0.702728271484375,-0.6490936279296875,-0.4208984375,14723.651280541668
-0.70062255859375,-0.6494598388671875,-0.408447265625,14723.671249541667
-0.7198638916015625,-0.65118408203125,-0.3974609375,14723.691218541668
-0.72412109375,-0.609619140625,-0.40472412109375,14723.711188541667
-0.7168121337890625,-0.5872955322265625,-0.410003662109375,14723.731157541668
-0.7181854248046875,-0.6251983642578125,-0.4144287109375,14723.751126541667
-0.723663330078125,-0.660247802734375,-0.4100189208984375,14723.771094875001
-0.7269134521484375,-0.6578369140625,-0.4129791259765625,14723.791061875001
-0.730712890625,-0.6601104736328125,-0.4191741943359375,14723.811030875
-0.7383575439453125,-0.666595458984375,-0.4366455078125,14723.830998875
-0.74267578125,-0.6478729248046875,-0.4477691650390625,14723.850967875002
-0.7545166015625,-0.6232147216796875,-0.46649169921875,14723.870936875
-0.7601470947265625,-0.61334228515625,-0.4901580810546875,14723.890905875001
-0.7484588623046875,-0.6063995361328125,-0.537322998046875,14723.910873875
-0.7356719970703125,-0.5447235107421875,-0.5197601318359375,14723.930842875001
-0.7499542236328125,-0.4677886962890625,-0.4907684326171875,14723.950812875
-0.7699737548828125,-0.4201507568359375,-0.4274139404296875,14723.970781875001
-0.7965087890625,-0.3890838623046875,-0.340576171875,14723.990751875
-0.82098388671875,-0.321533203125,-0.3462371826171875,14724.010720875001
-0.8165130615234375,-0.23486328125,-0.297454833984375,14724.030688875
-0.84246826171875,-0.2082672119140625,-0.2827911376953125,14724.050657875001
-0.8577728271484375,-0.198272705078125,-0.2389373779296875,14724.070626875
-0.8684844970703125,-0.1517333984375,-0.1676177978515625,14724.090594875
-0.8998260498046875,-0.1165771484375,-0.1130523681640625,14724.110563875001
-0.93902587890625,-0.1067047119140625,-0.058990478515625,14724.130531875
-0.965179443359375,-0.1171112060546875,-0.0299072265625,14724.150499875
-0.9705657958984375,-0.0905303955078125,-0.0456085205078125,14724.170467875001
-0.9636077880859375,-0.0609893798828125,-0.0409393310546875,14724.190437875
-0.9685516357421875,-0.0616302490234375,-0.0393524169921875,14724.210406875001
-0.981414794921875,-0.049102783203125,-0.003509521484375,14724.230376875
-0.9863128662109375,-0.020477294921875,-0.026947021484375,14724.250345875002
-0.9701995849609375,0.0193634033203125,-0.0077056884765625,14724.270316875001
-0.9832305908203125,0.002105712890625,0.0485992431640625,14724.290284875
-1.0092926025390625,-0.0614471435546875,0.05426025390625,14724.310254875001
-1.0015106201171875,-0.08111572265625,0.0781402587890625,14724.330224875
-0.9962921142578125,-0.059417724609375,0.1061859130859375,14724.350194875002
-1.00762939453125,-0.052215576171875,0.1518707275390625,14724.370163875
-1.0094451904296875,-0.05352783203125,0.1831207275390625,14724.390133875
-0.9876556396484375,0.0083770751953125,0.1507415771484375,14724.410101875
-0.982147216796875,0.0945892333984375,0.090789794921875,14724.430069875001
