id,level
3050,1576257
3060,-1447813
3070,1128566
3080,-521064
3090,-233083
3100,907158
3110,-311590
3120,547678
3130,915869
3140,825759
3150,-808686
3160,825896
3170,81268
3180,-832751
3190,692116
3200,347729
3210,-406909
3220,-835396
3230,-654048
3240,-2050055
3250,-67960
3260,694884
3270,809850
3280,1161234
3290,164229
3300,113196
3310,-734355
3320,-1979234
3330,-1013430
3340,849898
3350,-275374
3360,1257647
3370,3203473
3380,649744
3390,1014856
3400,-1527980
3410,-245507
3420,703862
3430,-307026
3440,-322273
3450,-204378
3460,329129
3470,180364
3480,-475521
3490,1787747
3500,1808331
3510,675851
3520,-638893
3530,-1344489
3540,-425506
3550,-1104125
3560,-435762
3570,-111830
3580,651398
3590,2278659
3600,593925
3610,205969
3620,929252
3630,1282395
3640,-48281
3650,478756
3660,1837581
3670,-1986546
3680,-2630264
3690,-364810
3700,-2201119
3710,520648
3720,1292562
3730,1634444
3740,2212880
3750,-660992
3760,1100950
3770,-899674
3780,-791903
3790,-1827719
3800,-796895
3810,-954911
3820,-1049096
3830,-870146
3840,742354
3850,-1429827
3860,155921
3870,4476280
3880,-195214
3890,762148
3900,-1141597
3910,-2893100
3920,-308734
3930,-280216
3940,-210473
3950,3398148
3960,-615908
3970,376533
3980,289372
3990,-199698
4000,110240
4010,-89388
4020,-786854
4030,1480100
4040,1344837
4050,-1523680
4060,-354197
4070,-28169
4080,144116
4090,235600
4100,366960
4110,-247728
4120,514009
4130,-780484
4140,-459058
4150,-1985960
4160,1258776
4170,-1742469
4180,293436
4190,-386886
4200,-1223115
4210,2006388
4220,3134026
4230,1122282
4240,1238534
4250,1727432
4260,-2223869
4270,942645
4280,-684046
4290,-4679
4300,-2505396
4310,1402914
4320,1214714
4330,-183022
4340,-2130256
4350,-793707
4360,1342978
4370,2015008
4380,2436260
4390,-726229
4400,-1218384
4410,360655
4420,-900396
4430,-592814
4440,-1490893
4450,779048
4460,-41942
4470,-523568
4480,542453
4490,641737
4500,-3015876
4510,-151677
4520,-755256
4530,-908338
4540,514093
4550,-428368
4560,-551098
4570,885855
4580,-1229485
4590,1649114
4600,1276712
4610,-28983
4620,195283
4630,564792
4640,-906581
4650,-53095
4660,-161792
4670,186703
4680,-606213
4690,2286316
4700,-4023
4710,799785
4720,543734
4730,-918637
4740,-1123279
4750,1121614
4760,-1960284
4770,-957856
4780,-1573467
4790,-1278458
4800,-286969
4810,889387
4820,1951993
4830,416498
4840,378912
4850,7708
4860,2924580
4870,312268
4880,-230949
4890,-476349
4900,-505286
4910,1000648
4920,-899226
4930,-1091320
4940,30671
4950,-1732255
4960,-326803
4970,2067064
4980,-476066
4990,137156
5000,-176124
5010,-133226
5020,774993
5030,-1658288
5040,-1063992
5050,-696579
5060,-332078
5070,-296121
5080,37774
5090,666626
5100,603862
5110,670908
5120,639491
5130,2528474
5140,132414
5150,-248952
5160,-2445676
5170,-2235894
5180,-1289871
5190,607483
5200,-430620
5210,865918
5220,-303610
5230,398640
5240,899426
5250,-793533
5260,-806514
5270,-1419098
5280,1815436
5290,1529064
5300,3786416
5310,319665
5320,359086
5330,403678
5340,491263
5350,-1680116
5360,4906
5370,-1920344
5380,-3172274
5390,-1169713
5400,-395289
5410,2498326
5420,2728888
5430,-167240
5440,-640583
5450,142367
5460,293720
5470,-1264878
5480,665624
5490,-247477
5500,865980
5510,970116
5520,-936386
5530,-1767073
5540,-365432
5550,122342
5560,385209
5570,-226996
5580,1362033
5590,255186
5600,1196268
5610,214501
5620,-333091
5630,-736569
5640,-105438
5650,-1976285
5660,-1764874
5670,-791157
5680,-417812
5690,901045
5700,1210654
5710,2733073
5720,-41114
5730,1521555
5740,-537728
5750,-405727
5760,-482897
5770,259676
5780,-800348
5790,162178
5800,-1211915
5810,995902
5820,-695075
5830,-1013419
5840,-1240828
5850,-1366305
5860,396512
5870,1055338
5880,2078551
5890,-51239
5900,-338762
5910,212392
5920,300078
5930,53862
5940,-52027
5950,-464301
